name,code
KOSPI,KOSPI
우리은행,000030.KS
삼양홀딩스,000070.KS
하이트진로,000080.KS
유한양행,000100.KS
CJ대한통운,000120.KS
두산,000150.KS
대림산업,000210.KS
한국타이어월드와이드,000240.KS
기아차,000270.KS
동아쏘시오홀딩스,000640.KS
SK하이닉스,000660.KS
영풍,000670.KS
현대건설,000720.KS
삼성화재,000810.KS
한화,000880.KS
DB하이텍,000990.KS
CJ,001040.KS
JW중외제약,001060.KS
LG상사,001120.KS
동국제강,001230.KS
세아베스틸,001430.KS
현대해상,001450.KS
동양,001520.KS
대상,001680.KS
SK네트웍스,001740.KS
오리온홀딩스,001800.KS
고려제강,002240.KS
롯데푸드,002270.KS
넥센타이어,002350.KS
KCC,002380.KS
아모레G,002790.KS
한국쉘석유,002960.KS
부광약품,003000.KS
태광산업,003240.KS
한일홀딩스,003300.KS
쌍용양회,003410.KS
대한항공,003490.KS
영진약품,003520.KS
LG,003550.KS
쌍용차,003620.KS
보령제약,003850.KS
남양유업,003920.KS
롯데정밀화학,004000.KS
현대제철,004020.KS
신세계,004170.KS
농심,004370.KS
세방전지,004490.KS
효성,004800.KS
롯데지주,004990.KS
빙그레,005180.KS
녹십자홀딩스,005250.KS
롯데칠성,005300.KS
현대차,005380.KS
현대그린푸드,005440.KS
POSCO,005490.KS
SPC삼립,005610.KS
DB손해보험,005830.KS
에스엘,005850.KS
삼성전자,005930.KS
NH투자증권,005940.KS
SK디스커버리,006120.KS
LS,006260.KS
녹십자,006280.KS
GS건설,006360.KS
삼성SDI,006400.KS
대한유화,006650.KS
미래에셋대우,006800.KS
AK홀딩스,006840.KS
GS리테일,007070.KS
오뚜기,007310.KS
일양약품,007570.KS
대덕전자,008060.KS
메리츠종금증권,008560.KS
호텔신라,008770.KS
한미사이언스,008930.KS
삼성전기,009150.KS
한샘,009240.KS
한올바이오파마,009420.KS
현대중공업,009540.KS
한화케미칼,009830.KS
OCI,010060.KS
LS산전,010120.KS
고려아연,010130.KS
삼성중공업,010140.KS
현대미포조선,010620.KS
아이에스동서,010780.KS
S-Oil,010950.KS
LG이노텍,011070.KS
롯데케미칼,011170.KS
현대위아,011210.KS
금호석유,011780.KS
SKC,011790.KS
현대모비스,012330.KS
한화에어로스페이스,012450.KS
HDC,012630.KS
에스원,012750.KS
한솔케미칼,014680.KS
동원시스템즈,014820.KS
유니드,014830.KS
한국전력,015760.KS
삼성증권,016360.KS
SK텔레콤,017670.KS
현대엘리베이,017800.KS
삼성에스디에스,018260.KS
한온시스템,018880.KS
대교,019680.KS
한섬,020000.KS
일진머티리얼즈,020150.KS
코웨이,021240.KS
롯데쇼핑,023530.KS
기업은행,024110.KS
한국단자,025540.KS
남해화학,025860.KS
동서,026960.KS
BGF,027410.KS
삼성엔지니어링,028050.KS
삼성물산,028260.KS
팬오션,028670.KS
삼성카드,029780.KS
제일기획,030000.KS
KT,030200.KS
LG유플러스,032640.KS
삼성생명,032830.KS
KT&G,033780.KS
무학,033920.KS
두산중공업,034020.KS
SBS,034120.KS
LG디스플레이,034220.KS
SK,034730.KS
강원랜드,035250.KS
NAVER,035420.KS
카카오,035720.KS
한국가스공사,036460.KS
엔씨소프트,036570.KS
팜스코,036580.KS
대우조선해양,042660.KS
두산인프라코어,042670.KS
대우건설,047040.KS
포스코대우,047050.KS
한국항공우주,047810.KS
동원F&B,049770.KS
한전KPS,051600.KS
LG생활건강,051900.KS
LG화학,051910.KS
한전기술,052690.KS
신한지주,055550.KS
현대홈쇼핑,057050.KS
한라홀딩스,060980.KS
현대로템,064350.KS
S&T모티브,064960.KS
LG전자,066570.KS
셀트리온,068270.KS
휴켐스,069260.KS
대웅제약,069620.KS
현대백화점,069960.KS
한국금융지주,071050.KS
롯데하이마트,071840.KS
금호타이어,073240.KS
GS,078930.KS
CJ CGV,079160.KS
현대리바트,079430.KS
인베니아,079950.KS
현대글로비스,086280.KS
하나금융지주,086790.KS
한화생명,088350.KS
아모레퍼시픽,090430.KS
LF,093050.KS
후성,093370.KS
JW홀딩스,096760.KS
SK이노베이션,096770.KS
한진중공업,097230.KS
CJ제일제당,097950.KS
풍산,103140.KS
KB금융,105560.KS
한세실업,105630.KS
LG하우시스,108670.KS
영원무역,111770.KS
GKL,114090.KS
락앤락,115390.KS
코오롱인더,120110.KS
한미약품,128940.KS
BNK금융지주,138930.KS
이마트,139480.KS
삼양사,145990.KS
한국타이어,161390.KS
한국콜마,161890.KS
동아에스티,170900.KS
종근당,185750.KS
쿠쿠홀딩스,192400.KS
코스맥스,192820.KS
만도,204320.KS
삼성바이오로직스,207940.KS
이노션,214320.KS
두산밥캣,241560.KS
넷마블,251270.KS
현대중공업지주,267250.KS
오리온,271560.KS
BGF리테일,282330.KS
SK케미칼,285130.KS
HDC현대산업개발,294870.KS
